id,stock_id,stock_name,stock_short,stock_open,stock_close,stock_high,stock_low,stock_volume,update_time
380,2,AMAZON,AMZN,345.99,341.96,348.3,340.38,4475500,"2014-04-27 17:29:15.826655"
381,2,AMAZON,AMZN,341.82,333.62,342.5,328.46,6399300,"2014-04-25 17:29:15.826655"
382,2,AMAZON,AMZN,335.15,323.0,335.44,315.61,12534600,"2014-04-23 17:29:15.826655"
383,2,AMAZON,AMZN,320.99,317.76,324.94,313.13,7077400,"2014-04-21 17:29:15.826655"
384,2,AMAZON,AMZN,321.88,327.07,328.0,318.44,6577600,"2014-04-19 17:29:15.826655"
385,2,AMAZON,AMZN,328.47,331.81,332.18,322.5,5056600,"2014-04-17 17:29:15.826655"
386,2,AMAZON,AMZN,330.6,317.11,331.0,316.5,6126700,"2014-04-15 17:29:15.826655"
387,2,AMAZON,AMZN,314.0,311.73,316.5,309.5,7287500,"2014-04-13 17:29:15.826655"
388,2,AMAZON,AMZN,317.67,315.91,320.48,311.28,4293500,"2014-04-11 17:29:15.826655"
389,2,AMAZON,AMZN,316.7,316.08,318.28,305.5,5398600,"2014-04-09 17:29:15.826655"
390,2,AMAZON,AMZN,321.17,323.68,324.0,314.71,4284900,"2014-04-07 17:29:15.826655"
391,2,AMAZON,AMZN,319.76,324.91,328.66,319.76,4299200,"2014-04-05 17:29:15.826655"
392,2,AMAZON,AMZN,323.97,330.87,331.15,322.31,2999400,"2014-04-03 17:29:15.826655"
393,2,AMAZON,AMZN,332.0,329.32,337.5,328.94,3711600,"2014-04-01 17:29:15.826655"
394,2,AMAZON,AMZN,333.06,324.58,333.13,323.39,3604600,"2014-03-30 17:29:15.826655"
395,2,AMAZON,AMZN,329.67,337.15,337.4,322.95,9293700,"2014-03-28 17:29:15.826655"
396,2,AMAZON,AMZN,316.25,303.83,316.49,302.71,16180200,"2014-03-26 17:29:15.826655"
397,2,AMAZON,AMZN,304.0,296.58,304.39,288.0,14478300,"2014-03-24 17:29:15.826655"
398,2,AMAZON,AMZN,296.44,300.38,301.84,290.45,6509300,"2014-03-22 17:29:15.826655"
399,2,AMAZON,AMZN,298.1,304.13,304.56,298.1,4088600,"2014-03-20 17:29:15.826655"
400,3,YAHOO,YHOO,36.16,36.49,36.86,36.15,15734000,"2014-04-29 17:29:21.685675"
401,3,YAHOO,YHOO,36.68,36.64,36.86,36.56,14522800,"2014-04-27 17:29:21.685675"
402,3,YAHOO,YHOO,36.66,35.76,36.79,35.51,16827800,"2014-04-25 17:29:21.685675"
403,3,YAHOO,YHOO,36.01,34.26,36.05,33.83,41049900,"2014-04-23 17:29:21.685675"
404,3,YAHOO,YHOO,34.11,33.07,34.37,32.53,47770200,"2014-04-21 17:29:21.685675"
405,3,YAHOO,YHOO,33.1,33.83,34.43,33.02,35486100,"2014-04-19 17:29:21.685675"
406,3,YAHOO,YHOO,34.19,34.87,35.0,33.95,21651200,"2014-04-17 17:29:21.685675"
407,3,YAHOO,YHOO,34.88,33.4,34.98,33.09,34024900,"2014-04-15 17:29:21.685675"
408,3,YAHOO,YHOO,32.64,32.87,33.48,32.15,28040700,"2014-04-13 17:29:21.685675"
409,3,YAHOO,YHOO,33.55,33.45,34.04,33.04,26322600,"2014-04-11 17:29:21.685675"
410,3,YAHOO,YHOO,33.93,34.21,34.28,32.64,50600400,"2014-04-09 17:29:21.685675"
411,3,YAHOO,YHOO,36.98,36.35,37.3,35.81,61599100,"2014-04-07 17:29:21.685675"
412,3,YAHOO,YHOO,36.29,36.38,36.6,35.55,28932700,"2014-04-05 17:29:21.685675"
413,3,YAHOO,YHOO,36.6,36.4,36.65,35.89,16685400,"2014-04-03 17:29:21.685675"
414,3,YAHOO,YHOO,36.71,36.14,36.85,36.11,17915200,"2014-04-01 17:29:21.685675"
415,3,YAHOO,YHOO,36.08,35.44,36.19,35.4,19051700,"2014-03-30 17:29:21.685675"
416,3,YAHOO,YHOO,35.82,35.24,35.82,34.77,17242300,"2014-03-28 17:29:21.685675"
417,3,YAHOO,YHOO,35.03,34.48,35.1,34.29,19391100,"2014-03-26 17:29:21.685675"
